"poluicao" "peixes" "fitoplancton" "lagostins"
"1" 9.5 9 12.5 2.4
"2" 8.5 9.9 11.6 5
"3" 9.2 9.1 15.3 5.8
"4" 10.3 8 13.9 6.2
"5" 9.6 9.1 14.4 3.6
"6" 10.9 5.6 14.2 5.2
"7" 10.7 4.3 15.1 8.1
"8" 8.9 6.2 12 3.4
"9" 10.5 6.2 14.2 4.4
"10" 9 7.9 14.3 4
"11" 9.8 8 15.4 4.7
"12" 8 8 11.1 3.4
"13" 9 8.7 12.7 4
"14" 9.8 5.4 12.9 6.9
"15" 10.8 6.1 15.8 6.4
"16" 9.2 8 13.3 3.4
"17" 10.4 7.5 14.2 4
"18" 9.4 7.5 16 9.1
"19" 8.6 10.2 14.2 6.8
"20" 9.8 6.8 13.3 6.5
"21" 8.7 8.3 12 5.8
"22" 8.8 7.9 12.5 4.4
"23" 9.8 7.8 15.3 6.1
"24" 8.2 9.5 13 3.5
"25" 9.9 6.6 15.7 9.3
"26" 8.7 7 14.3 5.1
"27" 8.9 7.7 13 3
"28" 10 8.3 15.1 4.8
"29" 8.1 9.8 14.4 3
"30" 10.2 7.3 15.7 6.3
